CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Gar Saxon,SHD,001,Normal,Common,3,False
Qi'ra,SHD,002,Normal,Rare,3,False
Finn,SHD,003,Normal,Rare,3,False
Rey,SHD,004,Normal,Common,3,False
Hondo Ohnaka,SHD,005,Normal,Common,3,False
Jabba the Hutt,SHD,006,Normal,Rare,3,False
Moff Gideon,SHD,007,Normal,Special,3,False
Boba Fett,SHD,008,Normal,Common,3,False
Hunter,SHD,009,Normal,Rare,3,False
Bossk,SHD,010,Normal,Common,3,False
Kylo Ren,SHD,011,Normal,Rare,3,False
Bo-Katan Kryze,SHD,012,Normal,Rare,3,False
Han Solo,SHD,013,Normal,Common,3,False
Cad Bane,SHD,014,Normal,Common,3,False
Doctor Aphra,SHD,015,Normal,Rare,3,False
Fennec Shand,SHD,016,Normal,Common,3,False
Lando Calrissian,SHD,017,Normal,Rare,3,False
The Mandalorian,SHD,018,Normal,Special,3,False
Remnant Science Facility,SHD,019,Normal,Common,3,False
Remote Village,SHD,020,Normal,Common,3,False
Maz Kanata's Castle,SHD,021,Normal,Common,3,False
Nevarro City,SHD,022,Normal,Common,3,False
Death Watch Hideout,SHD,023,Normal,Common,3,False
Spice Mines,SHD,024,Normal,Common,3,False
Coronet City,SHD,025,Normal,Common,3,False
Jabba's Palace,SHD,026,Normal,Common,3,False
Hylobon Enforcer,SHD,027,Normal,Common,3,False
Doctor Pershing,SHD,028,Normal,Rare,3,False
Pyke Sentinel,SHD,029,Normal,Common,3,False
Death Trooper,SHD,030,Normal,Common,3,False
The Client,SHD,031,Normal,Uncommon,3,False
Lom Pyke,SHD,032,Normal,Rare,3,False
Synara San,SHD,033,Normal,Uncommon,3,False
Supercommando Squad,SHD,034,Normal,Common,3,False
Clan Saxon Gauntlet,SHD,035,Normal,Uncommon,3,False
First Light,SHD,036,Normal,Rare,3,False
Supreme Leader Snoke,SHD,037,Normal,Legendary,3,False
Brutal Traditions,SHD,038,Normal,Uncommon,3,False
Calculated Lethality,SHD,039,Normal,Special,3,False
Clan Wren Rescuer,SHD,040,Normal,Common,3,False
Kuiil,SHD,041,Normal,Uncommon,3,False
Concord Dawn Interceptors,SHD,042,Normal,Uncommon,3,False
Village Protectors,SHD,043,Normal,Common,3,False
Razor Crest,SHD,044,Normal,Special,3,False
Rose Tico,SHD,045,Normal,Uncommon,3,False
Rey,SHD,046,Normal,Legendary,3,False
The Armorer,SHD,047,Normal,Uncommon,3,False
Gentle Giant,SHD,048,Normal,Common,3,False
The Mandalorian,SHD,049,Normal,Legendary,3,False
Chewbacca,SHD,050,Normal,Rare,3,False
Mystic Reflection,SHD,051,Normal,Rare,3,False
Sugi,SHD,052,Normal,Rare,3,False
Second Chance,SHD,053,Normal,Legendary,3,False
Midnight Repairs,SHD,054,Normal,Uncommon,3,False
Moisture Farmer,SHD,055,Normal,Common,3,False
Follower of The Way,SHD,056,Normal,Common,3,False
Rickety Quadjumper,SHD,057,Normal,Common,3,False
Val,SHD,058,Normal,Rare,3,False
Embo,SHD,059,Normal,Uncommon,3,False
HWK-290 Freighter,SHD,060,Normal,Common,3,False
Wroshyr Tree Tender,SHD,061,Normal,Common,3,False
Niima Outpost Constables,SHD,062,Normal,Common,3,False
System Patrol Craft,SHD,063,Normal,Special,3,False
Survivors' Gauntlet,SHD,064,Normal,Rare,3,False
Vigilant Pursuit Craft,SHD,065,Normal,Common,3,False
Cargo Juggernaut,SHD,066,Normal,Common,3,False
Fenn Rau,SHD,067,Normal,Uncommon,3,False
Public Enemy,SHD,068,Normal,Common,3,False
Foundling,SHD,069,Normal,Common,3,False
Resilient,SHD,070,Normal,Special,3,False
Top Target,SHD,071,Normal,Uncommon,3,False
Imprisoned,SHD,072,Normal,Rare,3,False
Mandalorian Armor,SHD,073,Normal,Rare,3,False
Vambrace Grappleshot,SHD,074,Normal,Common,3,False
Covert Strength,SHD,075,Normal,Common,3,False
Unexpected Escape,SHD,076,Normal,Uncommon,3,False
Evidence of the Crime,SHD,077,Normal,Rare,3,False
Fell the Dragon,SHD,078,Normal,Uncommon,3,False
Rival's Fall,SHD,079,Normal,Common,3,False
Salacious Crumb,SHD,080,Normal,Uncommon,3,False
General Tagge,SHD,081,Normal,Special,3,False
Outland TIE Vanguard,SHD,082,Normal,Common,3,False
Seasoned Shoretrooper,SHD,083,Normal,Special,3,False
Phase-III Dark Trooper,SHD,084,Normal,Special,3,False
Superlaser Technician,SHD,085,Normal,Special,3,False
Warbird Stowaway,SHD,086,Normal,Common,3,False
Crosshair,SHD,087,Normal,Uncommon,3,False
Ephant Mon,SHD,088,Normal,Rare,3,False
Pirate Battle Tank,SHD,089,Normal,Common,3,False
Maul,SHD,090,Normal,Rare,3,False
Jabba's Rancor,SHD,091,Normal,Uncommon,3,False
Finalizer,SHD,092,Normal,Legendary,3,False
Remnant Reserves,SHD,093,Normal,Uncommon,3,False
Palpatine's Return,SHD,094,Normal,Rare,3,False
Clone Deserter,SHD,095,Normal,Common,3,False
Maz Kanata,SHD,096,Normal,Rare,3,False
Freetown Backup,SHD,097,Normal,Uncommon,3,False
Sundari Peacekeeper,SHD,098,Normal,Uncommon,3,False
Echo,SHD,099,Normal,Uncommon,3,False
Modded Cohort,SHD,100,Normal,Common,3,False
Adelphi Patrol Wing,SHD,101,Normal,Common,3,False
The Marauder,SHD,102,Normal,Rare,3,False
General Rieekan,SHD,103,Normal,Rare,3,False
Inspiring Mentor,SHD,104,Normal,Rare,3,False
Spark of Hope,SHD,105,Normal,Uncommon,3,False
