CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Director Krennic,SOR,001,Normal,Common,3,False
Iden Versio,SOR,002,Normal,Rare,3,False
Chewbacca,SOR,003,Normal,Common,3,False
Chirrut ?mwe,SOR,004,Normal,Rare,3,False
Luke Skywalker,SOR,005,Normal,Special,3,False
Emperor Palpatine,SOR,006,Normal,Rare,3,False
Grand Moff Tarkin,SOR,007,Normal,Common,3,False
Hera Syndulla,SOR,008,Normal,Rare,3,False
Leia Organa,SOR,009,Normal,Common,3,False
Darth Vader,SOR,010,Normal,Special,3,False
Grand Inquisitor,SOR,011,Normal,Rare,3,False
IG-88,SOR,012,Normal,Common,3,False
Cassian Andor,SOR,013,Normal,Rare,3,False
Sabine Wren,SOR,014,Normal,Common,3,False
Boba Fett,SOR,015,Normal,Common,3,False
Grand Admiral Thrawn,SOR,016,Normal,Rare,3,False
Han Solo,SOR,017,Normal,Rare,3,False
Jyn Erso,SOR,018,Normal,Common,3,False
Security Complex,SOR,019,Normal,Rare,3,False
Capital City,SOR,020,Normal,Common,3,False
Dagobah Swamp,SOR,021,Normal,Common,3,False
Energy Conversion Lab,SOR,022,Normal,Rare,3,False
Command Center,SOR,023,Normal,Common,3,False
Echo Base,SOR,024,Normal,Common,3,False
Tarkintown,SOR,025,Normal,Rare,3,False
Catacombs of Cadera,SOR,026,Normal,Common,3,False
Kestro City,SOR,027,Normal,Common,3,False
Jedha City,SOR,028,Normal,Rare,3,False
Administrator's Tower,SOR,029,Normal,Common,3,False
Chopper Base,SOR,030,Normal,Common,3,False
Inferno Four,SOR,031,Normal,Uncommon,3,False
Scout Bike Pursuer,SOR,032,Normal,Common,3,False
Death Trooper,SOR,033,Normal,Common,3,False
Del Meeko,SOR,034,Normal,Rare,3,False
Lieutenant Childsen,SOR,035,Normal,Uncommon,3,False
Gideon Hask,SOR,036,Normal,Rare,3,False
Academy Defense Walker,SOR,037,Normal,Common,3,False
Count Dooku,SOR,038,Normal,Rare,3,False
AT-AT Suppressor,SOR,039,Normal,Uncommon,3,False
Avenger,SOR,040,Normal,Legendary,3,False
Power of the Dark Side,SOR,041,Normal,Uncommon,3,False
Search Your Feelings,SOR,042,Normal,Rare,3,False
Superlaser Blast,SOR,043,Normal,Legendary,3,False
Restored ARC-170,SOR,044,Normal,Common,3,False
Yoda,SOR,045,Normal,Uncommon,3,False
Consular Security Force,SOR,046,Normal,Common,3,False
Kanan Jarrus,SOR,047,Normal,Uncommon,3,False
Vigilant Honor Guards,SOR,048,Normal,Common,3,False
Obi-Wan Kenobi,SOR,049,Normal,Rare,3,False
The Ghost,SOR,050,Normal,Uncommon,3,False
Luke Skywalker,SOR,051,Normal,Legendary,3,False
Redemption,SOR,052,Normal,Rare,3,False
Luke's Lightsaber,SOR,053,Normal,Special,3,False
Jedi Lightsaber,SOR,054,Normal,Rare,3,False
The Force Is With Me,SOR,055,Normal,Uncommon,3,False
Bendu,SOR,056,Normal,Rare,3,False
Protector,SOR,057,Normal,Uncommon,3,False
Vigilance,SOR,058,Normal,Legendary,3,False
2-1B Surgical Droid,SOR,059,Normal,Common,3,False
Distant Patroller,SOR,060,Normal,Uncommon,3,False
Guardian of the Whills,SOR,061,Normal,Common,3,False
Regional Governor,SOR,062,Normal,Rare,3,False
Cloud City Wing Guard,SOR,063,Normal,Common,3,False
Wilderness Fighter,SOR,064,Normal,Common,3,False
Baze Malbus,SOR,065,Normal,Uncommon,3,False
